"state","measles_cases","population","cases_per_100k","median_hh_incomeE","median_hh_incomeM","pct_insuredE","pct_insuredM","pct_bachelors_plusE","pct_bachelors_plusM","pct_povertyE","pct_povertyM","pct_urban","pct_rural","phf_per_capita"
"Delaware",0,1059952,0,87534,2747,93.1,0.7,36,1,9.6,1.1,82.6121170000849,17.3878829999151,54.51247
"District of Columbia",0,693645,0,109707,4149,95.5,0.7,65.5,1.5,17.3,1.7,100,0,NA
"Maine",0,1414874,0,76442,1354,94.5,0.4,37.1,0.8,10.6,0.6,38.6321813853764,61.3678186146236,45.09794
"Massachusetts",0,7154084,0,104828,1650,97.2,0.2,48.3,0.4,9.7,0.3,91.2798116962121,8.72018830378794,136.33079
"Mississippi",0,2954160,0,59127,1560,90.3,0.4,27,0.6,17.8,0.8,46.2904711106248,53.7095288893752,NA
"New Hampshire",0,1415342,0,99782,2489,95.5,0.4,41.5,0.8,7.2,0.6,58.323273049061,41.676726950939,24.31284
"West Virginia",0,1766147,0,60798,1120,94.2,0.4,24.4,0.7,16.7,0.7,44.647926427595,55.352073572405,NA
"North Carolina",2,11197968,0.0178603832409594,73958,863,91.4,0.2,37.1,0.4,12.5,0.3,66.7158553738974,33.2841446261026,NA
"Alabama",1,5193088,0.0192563653841414,66659,780,91.8,0.3,29.9,0.4,15.2,0.5,57.7372395123758,42.2627604876242,63.20133
"Oregon",1,4273586,0.0233995525069579,85220,1399,94.8,0.2,37.8,0.5,11.8,0.5,80.4998329107328,19.5001670892672,67.70142
"Connecticut",1,3688496,0.0271113212539745,96049,1824,94.2,0.3,42.6,0.6,10.2,0.6,86.2507293513155,13.7492706486845,35.60088
"Florida",8,23462518,0.0340969370806663,77735,564,89.1,0.2,35.8,0.2,12,0.3,91.534194591216,8.46580540878394,38.0094
"Maryland",3,6265347,0.0478824237508314,102905,1404,93.7,0.3,44.7,0.4,9.1,0.4,85.6170992018421,14.3829007981579,153.9628
"Nevada",2,3282188,0.0609349616780026,81134,1112,88.6,0.5,28.5,0.6,11.6,0.7,94.0923090599991,5.90769094000091,14.94778
"Louisiana",3,4618189,0.0649605288999649,60986,803,92.3,0.3,27.8,0.5,18.7,0.6,71.5416669439818,28.4583330560182,48.12109
"California",26,39355309,0.0660647842963195,100149,381,94.1,0.1,38.1,0.2,11.8,0.2,94.2366327389068,5.76336726109315,73.20344
"Virginia",6,8880107,0.0675667534186244,92090,831,93.1,0.3,43.3,0.4,9.7,0.3,75.6345238827615,24.3654761172386,57.37805
"Georgia",10,11302748,0.0884740595826785,79991,633,88,0.3,36.3,0.4,12.6,0.3,74.0669729426354,25.9330270573646,NA
"Rhode Island",1,1114521,0.0897246440399059,83504,3548,95.4,0.6,39,1.1,12.2,1,91.0524987265111,8.94750127348892,99.16537
"Missouri",6,6270541,0.0956855237849493,71589,703,92.3,0.3,33.5,0.4,12.3,0.4,69.4674806938782,30.5325193061218,10.82732
"Tennessee",8,7315076,0.109363183649767,71997,638,90.3,0.3,32.4,0.4,13.5,0.4,66.2333667108485,33.7666332891515,88.57926
"Illinois",14,12719141,0.110070326290117,83211,898,93.1,0.2,39.2,0.3,11.6,0.3,86.9274774306482,13.0725225693518,53.89501
"Pennsylvania",16,13059432,0.122516813901248,77545,816,94.2,0.2,36.4,0.3,11.6,0.3,76.4538903458512,23.5461096541488,19.05198
"New Jersey",12,9548215,0.125677940850724,104294,997,92.3,0.3,44.5,0.4,9.2,0.3,93.7537369493403,6.24626305065974,44.76564
"New York",26,20002427,0.129984226414125,85820,653,95,0.1,41.2,0.3,14,0.3,87.4459099038876,12.5540900961124,108.76982
"Washington",11,8001020,0.137482470984949,99389,1322,93.5,0.2,41,0.4,9.9,0.3,83.3718458807667,16.6281541192333,77.23723
"Hawaii",2,1432820,0.13958487458299,100745,1760,96.5,0.4,37.8,1,10,0.7,86.0630081957244,13.9369918042756,132.06856
"Indiana",10,6973333,0.14340344853745,71959,630,92.5,0.3,30.7,0.5,12.2,0.4,71.1762739760266,28.8237260239734,42.71088
"Nebraska",5,2018006,0.247769332697722,76376,1384,92.9,0.5,35.4,0.7,10.9,0.6,73.005357113725,26.994642886275,48.05426
"Arkansas",8,3114791,0.256839062396161,62106,831,90.6,0.5,27.1,0.6,15.5,0.6,55.476131022034,44.523868977966,44.00554
"Iowa",9,3238387,0.277916135409387,75501,1016,94.6,0.3,32.1,0.6,11.3,0.4,63.1535411734505,36.8464588265495,17.84915
"Kentucky",13,4606864,0.282187622643082,64526,1165,93.2,0.3,27.9,0.5,15.6,0.5,58.6984524070561,41.3015475929439,49.36061
"Michigan",29,10127884,0.286338192657025,72389,567,94.9,0.2,33.3,0.3,13.4,0.3,73.4743951548282,26.5256048451718,40.20636
"Vermont",2,644663,0.310239613565537,82730,1846,95.8,0.6,45.1,1.4,9,0.8,35.1202111100226,64.8797888899774,75.62424
"Ohio",40,11900510,0.336120048636571,72212,538,93.3,0.2,32.4,0.3,12.7,0.3,76.2840685428674,23.7159314571326,39.35395
"Oklahoma",17,4123288,0.41229232593018,66148,663,88.5,0.3,29.3,0.4,14.9,0.4,64.6219470706451,35.3780529293549,52.63781
"Minnesota",26,5830405,0.445938146663911,87117,961,94.9,0.2,40,0.4,9.3,0.4,71.878705208487,28.121294791513,74.87289
"Alaska",4,737270,0.542542080920151,95665,3278,89,0.8,32.8,1.1,10.2,0.9,64.899487449396,35.100512550604,88.3759
"Colorado",35,6012561,0.582114676258586,97113,1081,92.1,0.3,47.8,0.4,9.6,0.4,86.0267065531822,13.9732934468178,89.72547
"Wisconsin",36,5972787,0.60273369869041,77488,902,94.7,0.2,34.6,0.3,10.3,0.3,67.0831383517162,32.9168616482838,28.98018
"Idaho",14,2029733,0.689745892686378,81166,1340,90.8,0.6,33,0.7,10.5,0.7,69.2421752742909,30.7578247257091,46.40842
"South Dakota",16,935094,1.71105792572725,76881,1990,91.9,0.7,34.2,1.1,10.4,0.8,57.2195649550508,42.7804350449492,46.14432
"Texas",803,31709821,2.53233848276848,79721,564,83.3,0.2,35.2,0.2,13.4,0.2,83.7202752191118,16.2797247808882,19.27594
"Wyoming",15,588753,2.54775771843201,75532,2468,89.7,1,32.3,1.6,10.1,1.2,62.017748083994,37.982251916006,33.45414
"Arizona",221,7623818,2.8988100188121,81486,684,89.7,0.4,34.7,0.4,11.7,0.4,89.2851599566077,10.7148400433923,17.49426
"Kansas",91,2977220,3.05654268075587,75514,996,91.5,0.4,36,0.6,10.9,0.5,72.2990387626452,27.7009612373548,44.1659
"Montana",36,1144694,3.14494528668797,75340,1635,91.2,0.6,36.3,1,10.2,0.7,53.4185247527035,46.5814752472965,19.48973
"North Dakota",36,799358,4.50361415035566,77871,2755,93.9,0.7,34,1.1,11.1,0.9,60.9668409716928,39.0331590283072,355.63053
"New Mexico",100,2125498,4.70477977396356,67816,1867,89.9,0.6,31.8,0.7,16.4,0.9,74.5471357558505,25.4528642441495,171.44313
"Utah",189,3538904,5.34063653605749,96658,1179,91.7,0.5,39.1,0.7,8.3,0.4,89.7814107768149,10.2185892231851,35.3903
"South Carolina",333,5570274,5.97816193601966,72350,959,91,0.3,33.3,0.5,13.3,0.5,67.948030888408,32.0519691115919,23.30211
