Fips,Location,TimeFrame,Data Type,Data,MOE
1,Alabama,2005,Dollars,68,
1,Alabama,2007,Dollars,52,
1,Alabama,2008,Dollars,58,
1,Alabama,2009,Dollars,64,
1,Alabama,2010,Dollars,68,
1,Alabama,2011,Dollars,70.19,
1,Alabama,2012,Dollars,74.39,
1,Alabama,2013,Dollars,63.44,
1,Alabama,2014,Dollars,59.22,
1,Alabama,2015,Dollars,59.2,
1,Alabama,2016,Dollars,59.95,
1,Alabama,2017,Dollars,56.43214,
1,Alabama,2018,Dollars,57.23,
1,Alabama,2019,Dollars,54.25,
1,Alabama,2020,Dollars,46.81,
1,Alabama,2021,Dollars,52.35,
1,Alabama,2022,Dollars,49.48,
1,Alabama,2023,Dollars,51.89,
1,Alabama,2024,Dollars,59.88375,
1,Alabama,2025,Dollars,63.20133,
2,Alaska,2005,Dollars,37,
2,Alaska,2007,Dollars,46,
2,Alaska,2008,Dollars,46,
2,Alaska,2009,Dollars,51,
2,Alaska,2010,Dollars,63,
2,Alaska,2011,Dollars,78.21,
2,Alaska,2012,Dollars,81.02,
2,Alaska,2013,Dollars,105.47,
2,Alaska,2014,Dollars,105.58,
2,Alaska,2015,Dollars,126.5,
2,Alaska,2016,Dollars,120.14,
2,Alaska,2017,Dollars,114.43666,
2,Alaska,2018,Dollars,96.52,
2,Alaska,2019,Dollars,98.25,
2,Alaska,2020,Dollars,215.15,
2,Alaska,2021,Dollars,90.17,
2,Alaska,2022,Dollars,91.15,
2,Alaska,2023,Dollars,87.85,
2,Alaska,2024,Dollars,90.25112,
2,Alaska,2025,Dollars,88.3759,
4,Arizona,2005,Dollars,15,
4,Arizona,2007,Dollars,20,
4,Arizona,2008,Dollars,18,
4,Arizona,2009,Dollars,13,
4,Arizona,2010,Dollars,10,
4,Arizona,2011,Dollars,8.47,
4,Arizona,2012,Dollars,7.59,
4,Arizona,2013,Dollars,7.63,
4,Arizona,2014,Dollars,8.4,
4,Arizona,2015,Dollars,9,
4,Arizona,2016,Dollars,9.04,
4,Arizona,2017,Dollars,8.83289,
4,Arizona,2018,Dollars,9.66,
4,Arizona,2019,Dollars,15.25,
4,Arizona,2020,Dollars,24.34,
4,Arizona,2021,Dollars,15.32,
4,Arizona,2022,Dollars,16.57,
4,Arizona,2023,Dollars,28.15,
4,Arizona,2024,Dollars,23.65184,
4,Arizona,2025,Dollars,17.49426,
5,Arkansas,2005,Dollars,51,
5,Arkansas,2007,Dollars,26,
5,Arkansas,2008,Dollars,27,
5,Arkansas,2009,Dollars,28,
5,Arkansas,2010,Dollars,36,
5,Arkansas,2011,Dollars,51.37,
5,Arkansas,2012,Dollars,50.92,
5,Arkansas,2013,Dollars,49.77,
5,Arkansas,2014,Dollars,47.94,
5,Arkansas,2015,Dollars,49,
5,Arkansas,2016,Dollars,53.56,
5,Arkansas,2017,Dollars,52.29329,
5,Arkansas,2018,Dollars,50.57,
